token,lidar_pc_token,track_token,next_token,prev_token,x,y,z,width,length,height,vx,vy,vz,yaw,confidence
b'\x17\x19\xb4\xb6C\xffY5',b'\xb2x\x87\xddZoP\x1d',b'n\x1cw[\xc0`S\x8a',b'6\x92\xe3\x08:\xe5T$',b'}\xc6\xc2\x1a\x18\x01[\xfe',365298.3746813569,144156.80657211714,20.861563145167395,1.9865134954452515,5.195100784301758,1.6316473484039307,0.0,0.0,0.0,-0.8490308751656012,0.8798107865544497
b';\xaa\xf2\x06)\xb2V7',b'\xb2x\x87\xddZoP\x1d',b'\xe05\xd2\x83\xd3@Sf',"b']\x8chx\x93(Y""'",b':\xc5\xa4&h\xfa\\\xab',365294.56649003894,144161.5028081742,20.423717180334663,1.8314745426177979,4.3507585525512695,1.5806872844696045,0.0,0.0,0.0,-0.8743146539841296,0.9684712895926478
b'\xa2y\xa1\xc5\xa4-Z\xb9',b'\xb2x\x87\xddZoP\x1d',b'\xd8\xf4\x87\x9e\xfc\xc6]\xd8',b'\xe6\x1bh\xf7\xb6y_\x03',b'\x8f\xdcw\x17b<R\xb7',365289.0426998225,144166.98881046727,19.90718385403236,1.9347591400146484,4.667396068572998,1.6233230829238892,0.0,0.0,0.0,-0.8017010189107052,1.0
b'\x03\xb9\xfa\x99\xb8\xea^\xad',b'\xb2x\x87\xddZoP\x1d',b'z\xdcw\xb5 f_\x07',b'\xd6\xeeA\x88\x03!W7',b'\x97\x9d\xcb\x1e\x9d\xb4Q\xe1',365314.23026741523,144138.897047725,22.23837221604262,1.926569938659668,4.532894134521484,1.8450466394424438,0.0,0.0,0.0,-0.9331690465746385,0.9151659014990173
b'\x82\xa7\xcb\x05\xc9\x13S\xc8',b'\xb2x\x87\xddZoP\x1d',b'\xfb\xc6\x9a!/\xefR\x0f',b'e\xe8\xb8\x1a\x13WR4',b'\x91\xdc\x1dx\x82\xc7^\xab',365268.0541326055,144116.0665485415,21.18607051053845,1.2838461151059635,1.0362356891281053,1.3761656032604925,-1.1489491004764541e-05,-0.00047120026823443495,0.000788308900962741,0.982795953021026,0.5825944476458751
b'\xc4J{M\xbc\xc1Z\xd6',b'\xb2x\x87\xddZoP\x1d',b'\xd611w\xd6\x89_\x13',b'M\x7f\xa7\xe3\x84\x8a\\\xce',b'\x808\xe5 \xda\x9fQ\xe4',365282.770785728,144171.85309800308,19.291528891224637,1.9831359386444092,4.787622451782227,1.5900946855545044,-0.42314256105132775,0.12287825632674645,0.0,-0.5800639748494844,1.0
b'Y\x1c\xca^\xd7{W3',b'\xb2x\x87\xddZoP\x1d',b'\xe3\x1d\x19\xe2\x1a\xceY\x15',b'\x96\xca}x\x9d\x0cU\x15',b'<\xe3%\xae\x1a\x7fP\xa1',365273.520107398,144176.1101503701,19.28880922524335,2.47316312789917,6.336848258972168,2.8211886882781982,0.0,0.0,0.0,-0.8490562692207817,0.486496835219412
b'L[B3\xb9:W8',b'\xb2x\x87\xddZoP\x1d',b'x\x10#\x92\x1b\xe5T{',b'o\xa0\xfd\xe6`3Xk',b'?DF)5[X\xf7',365318.8267196475,144132.50375706822,22.379671680738554,1.9545438289642334,4.404732704162598,1.732750654220581,0.0,0.0,0.0,-0.961720622852641,0.8776225880508443
b'\x97\xd3\xdd\xe3/tS\x86',b'\xb2x\x87\xddZoP\x1d',b'\x1c\xd8\x1f\xb3\xe7\xda[/',b'\x94S\x8doyS\\z',b't9\xe0\x83\n\\[\x1b',365319.9274911803,144136.3470152765,22.506042724458734,0.7819604324439007,0.7156011956930389,1.7370968773804751,-0.028289920539532762,0.05933029482195074,-0.005568535874521604,2.7400997782031142,0.711041729379123
b'\x0e\xe5\x8f\x9a\xb31Z\x00',b'\xb2x\x87\xddZoP\x1d',b'%\x95\xba\xa5\xc8\x8c^\xb9',b'1\x8b\x99\xd1^DR\xf2',b'\xa2h\x13\x1d\xea\x8dX\x7f',365320.69083238574,144113.76608444192,23.692853565222237,0.7998634459659774,0.7433197412600346,1.7635911625640628,0.3688314713209673,-0.12997672729941523,0.04629205698759341,-0.5499122352760528,0.8239266838618948
b'\x04\xbc\x8e;~\xaaRK',b'\xb2x\x87\xddZoP\x1d',b'\x98j\xc9FF\x0fP\x84',b'y*`\x14T\x1dZ\xfe',b'\xe4\xc3%2\x1f1]\x14',365315.0573815514,144145.7308519712,22.052290427699578,0.8592498299315313,0.826243993555202,1.665320713581151,-0.7329209034656985,0.6617134814115067,-0.09485850524840415,2.4377480893527723,0.7446876115758126
b'\x1f\xef\xd6\x99\xc7\xa0]R',b'\xb2x\x87\xddZoP\x1d',b'\xc1\xa3T`\x9a_Rg',b'1\xc1c\xf5\xa6oZU',b'0\xe4\xfe;]\x88P\xa4',365274.1958068505,144120.56198847713,20.881396540600832,0.8596787603658804,0.987707897608268,1.232827331257809,-0.0009332569896027057,-0.002469339251736772,0.0010211184500399405,1.838993984426354,0.6034748329266959
b'\\\xc0bl\xe5\x99Z\xff',b'\xb2x\x87\xddZoP\x1d',b'%\x9e\xe0\x18\x93\x8b^\xbb',b'\xb1\xc7\x7f\x8a\xd4t]w',b'\xc8\xf1\x9a\x19}[Z:',365242.7202398193,144099.92139286493,20.60317608692103,0.3429013192653656,0.3439074158668518,0.715366005897522,0.0,0.0,0.0,2.3255390244994016,0.4732024859320335
b'!\x8e\x17\xd0e\xd2_G',b'\xb2x\x87\xddZoP\x1d',b'\xcc\xf1\xc7\xb24f[a',b'\xf5&\xad\xfa\xedG\\u',b'Z\xf3\x81W\x84I\\z',365318.83774096763,144114.44312057848,23.50223220552143,0.8038748592494015,0.7657289599067759,1.7833026305318174,0.22648197087605917,0.326492388926703,-0.006933655837185648,0.42537939053003093,0.5623797879488899
b'D\x17b\xf2\xeb\xdf^\xb0',b'\xb2x\x87\xddZoP\x1d',b'\xa7\xc9\xd4\xa5\xeeC^=',b'po\xa8\x11\xf2^Q\x86',b'\xa0it\xdaw\xfa]^',365321.6128477005,144117.16633204644,22.36187392924543,0.3954486548900604,0.3931383490562439,0.7689762115478516,0.0,0.0,0.0,-3.017786382546821,0.4214377052597301
b'\xb5\xf5\xd6\xe8\xcfW_u',b'\xb6\xcd\x07\x12\x95#U\x98',b'Lu?K\xe9{X\xe7',b'\r\xec\x0bK\x1a\xe5[}',b'\x9c\xf3\x02\x07\xd8\xf9Y\xe4',365265.37130126526,144114.1573368141,21.458278712661254,1.8740637302398682,4.522335052490234,1.6506378650665283,0.0,0.0,0.0,0.5618134733763592,0.977772595006112
b'\xb0\xea\xcfj\xf5\xbbS\x12',b'\xb6\xcd\x07\x12\x95#U\x98',b'Z\x1f\x8c\x13\x922X\xf9',b'\x9f\x13\xb9\x81\xef\x10]\xed',b'<\xa6A\x8c\xbb\xff[\x1c',365242.8798254327,144099.47864923082,20.892576727522027,1.246660270822715,0.9792692307271967,1.3257834857742807,-4.236793690274996e-05,-0.0009795539417577074,0.0016776203343127991,0.8689813600465284,0.5263190466102294
b'\xc3\x9e\xcc\x9b\xfd\x9f\\\xc0',b'\xb6\xcd\x07\x12\x95#U\x98',b'\xe1\x93\xc6\xfdq\xcb[%',b'\xf6\x01\xaf\xb5:&X\xe9',b'\x97\xb2\xd6\x1fo\x91Z\xe9',365281.574850659,144124.66502153478,21.18063737906664,1.324148892022079,1.0375294376229023,1.3596868354270915,4.5680226207652093e-05,5.093029677881908e-05,0.0006161792192931491,0.7333417611372597,0.5890664670937805
b'6\x92\xe3\x08:\xe5T$',b'\xb6\xcd\x07\x12\x95#U\x98',b'n\x1cw[\xc0`S\x8a',b'P\x8bH\xb7\xca\xa5T\x84',b'\x17\x19\xb4\xb6C\xffY5',365298.37335498555,144156.82335090105,20.8580090075701,1.9878779649734497,5.1799397468566895,1.630758285522461,0.0,0.0,0.0,-0.8471028876243984,0.8612878539289134
"b']\x8chx\x93(Y""'",b'\xb6\xcd\x07\x12\x95#U\x98',b'\xe05\xd2\x83\xd3@Sf',b'L\x0enMn\xffZB',b';\xaa\xf2\x06)\xb2V7',365294.5665230573,144161.5079949603,20.418492027033817,1.828814148902893,4.345778465270996,1.5813472270965576,0.0,0.0,0.0,-0.8710548363440549,0.8545621926482307
b'\xe6\x1bh\xf7\xb6y_\x03',b'\xb6\xcd\x07\x12\x95#U\x98',b'\xd8\xf4\x87\x9e\xfc\xc6]\xd8',"b'\x18,\xb3PY(U{'",b'\xa2y\xa1\xc5\xa4-Z\xb9',365289.0281632094,144166.99488440217,19.892248037842172,1.935882329940796,4.697479248046875,1.606522798538208,0.0,0.0,0.0,-0.7983365167405618,1.0
b'\xd6\xeeA\x88\x03!W7',b'\xb6\xcd\x07\x12\x95#U\x98',b'z\xdcw\xb5 f_\x07',b'\xe5U\xf6\r^\xe7[\x06',b'\x03\xb9\xfa\x99\xb8\xea^\xad',365314.22426776733,144138.90001505084,22.215933921180508,1.9410773515701294,4.545781135559082,1.8223400115966797,0.0,0.0,0.0,-0.9341216018737983,0.9613165513179298
b'e\xe8\xb8\x1a\x13WR4',b'\xb6\xcd\x07\x12\x95#U\x98',b'\xfb\xc6\x9a!/\xefR\x0f',b'\x99\x82\x8a|\\3P\xa8',b'\x82\xa7\xcb\x05\xc9\x13S\xc8',365268.0789873246,144116.0517963467,21.21941921163431,1.2753856676713695,1.0271380174170561,1.377698684689274,0.00025333177738357546,-0.0004583393506735737,0.0005401394162553093,0.9811866258875614,0.5616923860484618
b'M\x7f\xa7\xe3\x84\x8a\\\xce',b'\xb6\xcd\x07\x12\x95#U\x98',b'\xd611w\xd6\x89_\x13',"b'\xf7\xd1Q,\x01YY\xfb'",b'\xc4J{M\xbc\xc1Z\xd6',365282.7671063824,144171.84179105752,19.288813703276688,1.979204773902893,4.7991943359375,1.5781595706939697,-0.4234164007449428,0.12641086848930877,0.0,-0.579208635313678,1.0
b'\x96\xca}x\x9d\x0cU\x15',b'\xb6\xcd\x07\x12\x95#U\x98',b'\xe3\x1d\x19\xe2\x1a\xceY\x15',b'\x88\xe5\xe0\xb3\x84\x17Y\xa8',b'Y\x1c\xca^\xd7{W3',365273.554033641,144176.0967050971,19.2920244227955,2.4770383834838867,6.330197811126709,2.8211886882781982,0.0,0.0,0.0,-0.8435309987953181,0.486496835219412
b'o\xa0\xfd\xe6`3Xk',b'\xb6\xcd\x07\x12\x95#U\x98',b'x\x10#\x92\x1b\xe5T{',b'\x7f\xe0\xf2\xb8ChTN',b'L[B3\xb9:W8',365318.83377027,144132.5019677069,22.368159576491713,1.9663578271865845,4.406553745269775,1.6973931789398193,0.0,0.0,0.0,-0.9602620891907198,1.0
b'\x94S\x8doyS\\z',b'\xb6\xcd\x07\x12\x95#U\x98',b'\x1c\xd8\x1f\xb3\xe7\xda[/',b'\xd8\x0f\xe2H\xfcOW\x98',b'\x97\xd3\xdd\xe3/tS\x86',365319.92302864994,144136.3532912808,22.498649863338084,0.7816576233102929,0.7159495095179758,1.737024061632017,-0.03409264033412063,0.06606449180913318,-0.005975732942855205,2.700332445960992,0.708910393645074
b'1\x8b\x99\xd1^DR\xf2',b'\xb6\xcd\x07\x12\x95#U\x98',b'%\x95\xba\xa5\xc8\x8c^\xb9',b'W\xb4\xbc\x88\xfcaW\xe0',b'\x0e\xe5\x8f\x9a\xb31Z\x00',365320.7098453695,144113.76521320274,23.68946286560536,0.8019802466204188,0.7444174684712033,1.7645022298691895,0.37716769134763317,-0.11453409284823939,0.0442395196977293,-0.5138397341848595,0.8243031713368562
b'y*`\x14T\x1dZ\xfe',b'\xb6\xcd\x07\x12\x95#U\x98',b'\x98j\xc9FF\x0fP\x84',"b'\x04\xab,\x02t\xe0U\r'",b'\x04\xbc\x8e;~\xaaRK',365315.0154369139,144145.7591788757,22.039043266673087,0.8646335341877551,0.8307338006424353,1.667586684822344,-0.7467280087498873,0.6722551771279768,-0.09539735695302576,2.4312007883190114,0.7547997082222572
b'1\xc1c\xf5\xa6oZU',b'\xb6\xcd\x07\x12\x95#U\x98',b'\xc1\xa3T`\x9a_Rg',b'MFXP\xd3\xc5ZB',b'\x1f\xef\xd6\x99\xc7\xa0]R',365274.19576019887,144120.5618650398,20.881447584269914,0.8596787603658804,0.987707897608268,1.232827331257809,-0.0009332569896027057,-0.002469339251736772,0.0010211184500399405,1.838993984426354,0.6034748329266959
b'\xb1\xc7\x7f\x8a\xd4t]w',b'\xb6\xcd\x07\x12\x95#U\x98',b'%\x9e\xe0\x18\x93\x8b^\xbb',b'\xe2+f|)FS\xf3',b'\\\xc0bl\xe5\x99Z\xff',365242.7202398193,144099.92139286493,20.60317608692103,0.3429013192653656,0.3439074158668518,0.715366005897522,0.0,0.0,0.0,2.3255390244994016,0.4732024859320335
