token,next_token,prev_token,ego_pose_token,lidar_token,scene_token,filename,timestamp
b'\xabAq\x07\xe09Y\xc3',b')\x97?\x06\x7f\x08V\x1a',b'\xb0\xb3E\x10B\xa2Vs',b'\x07\x12\x1b\xadk=P\xe6',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/ab417107e03959c3.pcd,1633942872149730
b')\x97?\x06\x7f\x08V\x1a',b'\xb6\x8c^7~dQ\xb5',b'\xabAq\x07\xe09Y\xc3',b'C\xe5e\xcb\xab`[$',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/29973f067f08561a.pcd,1633942872199732
b'\xb6\x8c^7~dQ\xb5',b'/\xb5s *Y^W',b')\x97?\x06\x7f\x08V\x1a',b'\x0e\xb3\x14\x8a/%U\xe9',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/b68c5e377e6451b5.pcd,1633942872249733
b'/\xb5s *Y^W',b'\xaa\xc1\xbd\xa1\x11\xecXN',b'\xb6\x8c^7~dQ\xb5',b'K\x84\xc8E\xbc\xabWm',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/2fb573202a595e57.pcd,1633942872299733
b'\xaa\xc1\xbd\xa1\x11\xecXN',b'F\xdf\x04\x10\xfeT^5',b'/\xb5s *Y^W',b'Z\xf5\x9f!\xd2\x9f\\\xcf',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/aac1bda111ec584e.pcd,1633942872349736
b'F\xdf\x04\x10\xfeT^5',b'\x88R\x890\xfb\xf1_\xa6',b'\xaa\xc1\xbd\xa1\x11\xecXN',b'\xfc\xa40\xc8\x9c\x8cZ\xe5',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/46df0410fe545e35.pcd,1633942872399738
b'\x88R\x890\xfb\xf1_\xa6',b'EOnp\xd4>U\xec',b'F\xdf\x04\x10\xfeT^5',b'D\xf5\xa6==\xde_\x11',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/88528930fbf15fa6.pcd,1633942872449739
b'EOnp\xd4>U\xec',b'\x82L\xb7\xc2+\x84X\x94',b'\x88R\x890\xfb\xf1_\xa6',b'#\x0e\xfa3kyZ\xf6',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/454f6e70d43e55ec.pcd,1633942872499740
b'\x82L\xb7\xc2+\x84X\x94',b'\x02u\x1b\xa6\x1f\xa6Z\x8f',b'EOnp\xd4>U\xec',b'\x1b\xd2\x8f\xf8rR_\xbd',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/824cb7c22b845894.pcd,1633942872549744
b'\x02u\x1b\xa6\x1f\xa6Z\x8f',b'd\xa9w\r[_]x',b'\x82L\xb7\xc2+\x84X\x94',b'<\xbc4\xff\xee\xe6[\x8f',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/02751ba61fa65a8f.pcd,1633942872599746
b'd\xa9w\r[_]x',b'\x91V\x804\xcb\xf6Y\xa1',b'\x02u\x1b\xa6\x1f\xa6Z\x8f',b'\xb8\xf0\x92UMsX\x93',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/64a9770d5b5f5d78.pcd,1633942872649748
b'\x91V\x804\xcb\xf6Y\xa1',b'G\xfc\xe8\r\xf8\xceR4',b'd\xa9w\r[_]x',b'\xee\xf5^\xe9\xe0\x0eTZ',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/91568034cbf659a1.pcd,1633942872699751
b'G\xfc\xe8\r\xf8\xceR4',b'V\xb81\x19\x048Vc',b'\x91V\x804\xcb\xf6Y\xa1',b'\xde\x15\x11\xd9\x85\x08^u',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/47fce80df8ce5234.pcd,1633942872749754
b'V\xb81\x19\x048Vc',b'\xa1\x07\x84\xb6\xa8\x11X\xc7',b'G\xfc\xe8\r\xf8\xceR4',b'\xe0p\x18\x9a\x1e\xecY\x1f',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/56b8311904385663.pcd,1633942872799756
b'\xa1\x07\x84\xb6\xa8\x11X\xc7',b'{@\xb4L!\x80X\xa8',b'V\xb81\x19\x048Vc',b'\xa77\x83\x97\xb5\xb5_\xe6',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/a10784b6a81158c7.pcd,1633942872849756
b'{@\xb4L!\x80X\xa8',b'\x0f\x07\xff\x8d\xdf\xdeY\x84',b'\xa1\x07\x84\xb6\xa8\x11X\xc7',"b'\x9aa,\x92i""_\x14'",b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/7b40b44c218058a8.pcd,1633942872899753
b'\x0f\x07\xff\x8d\xdf\xdeY\x84',b'\xb4=\x0f\xfb<\x98_\x8c',b'{@\xb4L!\x80X\xa8',b'\xc6\xa7\xe1Z@\xd2]6',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/0f07ff8ddfde5984.pcd,1633942872949751
b'\xb4=\x0f\xfb<\x98_\x8c',b'\x89\x83\x0b2>9S\xc4',b'\x0f\x07\xff\x8d\xdf\xdeY\x84',b'q\x93\x90\x7f\x03\xfaP\x81',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/b43d0ffb3c985f8c.pcd,1633942872999747
b'\x89\x83\x0b2>9S\xc4',b'\xbdC\xf2B\x15\xc7U\xa6',b'\xb4=\x0f\xfb<\x98_\x8c',b'^\xcaL\x81\xb8\x9dT\x80',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/89830b323e3953c4.pcd,1633942873049740
b'\xbdC\xf2B\x15\xc7U\xa6',b'\xda\xab\x81\xc8\x1a+U\x88',b'\x89\x83\x0b2>9S\xc4',b'\x7f\xab\xfc\x99\xac\xad[\x05',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/bd43f24215c755a6.pcd,1633942873099730
b'\xda\xab\x81\xc8\x1a+U\x88',b'\xe9\x12\xb8\x1f\xc5\x1eX\x8c',b'\xbdC\xf2B\x15\xc7U\xa6',b'+\x1e\xc8\xf5\xc7T^\xbe',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/daab81c81a2b5588.pcd,1633942873149717
b'\xe9\x12\xb8\x1f\xc5\x1eX\x8c',b'\x92\x13\xa6\xdd\x9a\x9f^1',b'\xda\xab\x81\xc8\x1a+U\x88',"b""#\x93\xd3\x02M'S\xaa""",b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/e912b81fc51e588c.pcd,1633942873199706
b'\x92\x13\xa6\xdd\x9a\x9f^1',b'\x96\xf3\xbeg\x8d\xa2SA',b'\xe9\x12\xb8\x1f\xc5\x1eX\x8c',"b'\x13{w\x1a""\x17Z\xf7'",b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/9213a6dd9a9f5e31.pcd,1633942873249695
b'\x96\xf3\xbeg\x8d\xa2SA',b'\xbf\xb1\xb6\xe4\x1cy^\xea',b'\x92\x13\xa6\xdd\x9a\x9f^1',b'JyU\xf1\xe2DVt',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/96f3be678da25341.pcd,1633942873299687
b'\xbf\xb1\xb6\xe4\x1cy^\xea',b'\xfa\xd1!\x85\x9e\x86[O',b'\x96\xf3\xbeg\x8d\xa2SA',b'\xcb\xe0\xf3\xa8\xf2\x19RA',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/bfb1b6e41c795eea.pcd,1633942873349682
b'\xfa\xd1!\x85\x9e\x86[O',b'\x86\x05v\x99\x03zX\xd0',b'\xbf\xb1\xb6\xe4\x1cy^\xea',b'\xe7\xe2\x130\xe7\x84X\x96',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/fad121859e865b4f.pcd,1633942873399679
b'\x86\x05v\x99\x03zX\xd0',b'\xbd\x003\x153XQ\xa1',b'\xfa\xd1!\x85\x9e\x86[O',b'\xf3\x96@6\xf3\x0bX\xd1',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/86057699037a58d0.pcd,1633942873449677
b'\xbd\x003\x153XQ\xa1',b'\n\x8f\x0e\xe3J\x0c[\x05',b'\x86\x05v\x99\x03zX\xd0',b' \\\xb1\x83\xaf\xc3_j',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/bd003315335851a1.pcd,1633942873499675
b'\n\x8f\x0e\xe3J\x0c[\x05',b'w.\xc1\x01\xe3M]\x81',b'\xbd\x003\x153XQ\xa1',b'\x8e\xd2\xabG\xac\x17Z\xf3',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/0a8f0ee34a0c5b05.pcd,1633942873549676
b'w.\xc1\x01\xe3M]\x81',"b'\xc9\xc4\xb5V\x11,_\xc2'",b'\n\x8f\x0e\xe3J\x0c[\x05',b'\x87[\xb2\t\x88\x02X\x12',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/772ec101e34d5d81.pcd,1633942873599676
"b'\xc9\xc4\xb5V\x11,_\xc2'",b'~\x82\x8b\xee\x7f\tYc',b'w.\xc1\x01\xe3M]\x81',b'\x1a\x0e\xb2\xccO\xc9X:',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/c9c4b556112c5fc2.pcd,1633942873649675
b'~\x82\x8b\xee\x7f\tYc',b'b\x15hZ4\xd9^\xf3',"b'\xc9\xc4\xb5V\x11,_\xc2'",b'|\x82m\x18.\x9eV6',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/7e828bee7f095963.pcd,1633942873699676
b'b\x15hZ4\xd9^\xf3',b'\r?\t\xdb\xd1\xf2^\xf4',b'~\x82\x8b\xee\x7f\tYc',b'\xe46z\x04Z\x16T\xc3',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/6215685a34d95ef3.pcd,1633942873749680
b'\r?\t\xdb\xd1\xf2^\xf4',b'\xfe\x9dc\xb8\x8d%V\x07',b'b\x15hZ4\xd9^\xf3',b'VB\xca\xb4xk]-',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/0d3f09dbd1f25ef4.pcd,1633942873799687
b'\xfe\x9dc\xb8\x8d%V\x07',b'I\xd6\xe9\xf7\x93}U0',b'\r?\t\xdb\xd1\xf2^\xf4',b'\x95\x07\xba\x9dI5W\xfb',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/fe9d63b88d255607.pcd,1633942873849693
b'I\xd6\xe9\xf7\x93}U0',b'\x1cP\x85\xb5\x90\x9aXA',b'\xfe\x9dc\xb8\x8d%V\x07',b'\r\xc2\xd2\x059\x18T\xb7',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/49d6e9f7937d5530.pcd,1633942873899699
b'\x1cP\x85\xb5\x90\x9aXA',b'\xa8\xd4\x8a\xe4\xca\x0b_\xee',b'I\xd6\xe9\xf7\x93}U0',b'\xb6~\xb9\xaf\x14bX|',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/1c5085b5909a5841.pcd,1633942873949705
b'\xa8\xd4\x8a\xe4\xca\x0b_\xee',b'\x15\xda\xc4^\xa8\x8b\\\xf6',b'\x1cP\x85\xb5\x90\x9aXA',b'n<\xe4\x11\xab\xf6_&',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/a8d48ae4ca0b5fee.pcd,1633942873999713
b'\x15\xda\xc4^\xa8\x8b\\\xf6',b'P\xdf$\x8f@\xbaT7',b'\xa8\xd4\x8a\xe4\xca\x0b_\xee',b'\xfa\xac\xc0\x8cS\x05Z\xfe',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/15dac45ea88b5cf6.pcd,1633942874049721
b'P\xdf$\x8f@\xbaT7',b'\x19\xb8\x94\x18W\x85[J',b'\x15\xda\xc4^\xa8\x8b\\\xf6',b'\x7f\x16%\x9b(\x13P?',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/50df248f40ba5437.pcd,1633942874099729
b'\x19\xb8\x94\x18W\x85[J',b'@it\t\x88\xdaVX',b'P\xdf$\x8f@\xbaT7',b'\x97\x9c1K\x93\x90S?',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/19b8941857855b4a.pcd,1633942874149739
b'@it\t\x88\xdaVX',b'\xf6\xf1\xe0Ju\x1eR\xcb',b'\x19\xb8\x94\x18W\x85[J',b'9\xfc\xcd\x10A\x8e^\xd6',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/4069740988da5658.pcd,1633942874199746
b'\xf6\xf1\xe0Ju\x1eR\xcb',b'\xc1\xba\x81\x12\xberVk',b'@it\t\x88\xdaVX',b'\xae\xa5\x0c6\xa2\xf7\\B',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/f6f1e04a751e52cb.pcd,1633942874249754
b'\xc1\xba\x81\x12\xberVk',b'\x1e\x0c=6\xf8OQ;',b'\xf6\xf1\xe0Ju\x1eR\xcb',b'Z\x9e\xa2\xed\x02b]\xba',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/c1ba8112be72566b.pcd,1633942874299766
b'\x1e\x0c=6\xf8OQ;',b'0\xee\x88\x00}zZZ',b'\xc1\xba\x81\x12\xberVk',b'\x1ftR\x025\xb1]]',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/1e0c3d36f84f513b.pcd,1633942874349777
b'0\xee\x88\x00}zZZ',b'\x1a_\x98\xedc\xcdW^',b'\x1e\x0c=6\xf8OQ;',b'\xba\xf0\xbf\x9a\xd7\xd5[\xe2',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/30ee88007d7a5a5a.pcd,1633942874399788
b'\x1a_\x98\xedc\xcdW^',b'W\xb5\xdetc\x84[\xfa',b'0\xee\x88\x00}zZZ',b'\xb0\xc5\x8c\xd6c([P',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/1a5f98ed63cd575e.pcd,1633942874449794
b'W\xb5\xdetc\x84[\xfa',b'\x10NM%\xef\xcf_!',b'\x1a_\x98\xedc\xcdW^',b'e\x8ep\n\xfb|U%',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/57b5de7463845bfa.pcd,1633942874499798
b'\x10NM%\xef\xcf_!',b'\x84\xce\x96j\x05B\\\xc0',b'W\xb5\xdetc\x84[\xfa',b'\xa1c:\x83}|U\x88',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/104e4d25efcf5f21.pcd,1633942874549800
b'\x84\xce\x96j\x05B\\\xc0',b'\x1c\xde\x98%y|Wg',b'\x10NM%\xef\xcf_!',b'\x01~\x0e\xad@\xf2^\xf2',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/84ce966a05425cc0.pcd,1633942874599803
b'\x1c\xde\x98%y|Wg',b'\xff\xcf\xc5\xb0\x08JWN',b'\x84\xce\x96j\x05B\\\xc0',b'0\xc9\xdc\xb3\x176Z\x8f',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/1cde9825797c5767.pcd,1633942874649807
b'\xff\xcf\xc5\xb0\x08JWN',b'8\x90\xdd>)/].',b'\x1c\xde\x98%y|Wg',b'\xf4\x9e7\x83\x0f.V\x0c',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/ffcfc5b0084a574e.pcd,1633942874699813
b'8\x90\xdd>)/].',b'\x94\xc8\xe8\xe0\xf9\xd4PN',b'\xff\xcf\xc5\xb0\x08JWN',b'1\xe1\xbe\xda\xc7|RX',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/3890dd3e292f5d2e.pcd,1633942874749820
