token,category_token,width,length,height
b'\x9bf\x8d\x1b\x9f\xc3P\x9e',b'l\xad\x90n\xb0\xb9K\xb5',0.8245583955930796,0.8635595962835951,1.7707082422634706
b'\xc1PB\xf3\xdc\x15PC',b'*\x10\x9a\xb4\xba\xd9@*',1.2826484232859172,0.9800539086279847,1.4482578039169312
b'D\x91\x1b\x13|\xfbS\x18',b'l\xad\x90n\xb0\xb9K\xb5',0.8509616730002765,0.9179902430967042,1.8105903172713391
b'\xe4\xc3=\x00\x80\x95W\x9c',b'l\xad\x90n\xb0\xb9K\xb5',0.7991500542014085,0.9025912707010821,1.7373572901756171
b'c+>\xcfQ\x84Y\x9b',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.44866537076209556,0.4402614511139195,0.9812956835621071
b'\xac\x98\x18\x16\x17\xa6\\5',b'l\xad\x90n\xb0\xb9K\xb5',0.7948034205141633,0.7978405738712618,1.7508427332763525
"b'\xc7""\x9b/d\x84Y}'",b'*\x10\x9a\xb4\xba\xd9@*',1.3549848953559864,1.040476808328666,1.4829807135783788
b'\xcfn\xf5f|XW\x88',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.4129329598246817,0.4056911148234754,1.1979804241925005
b'\x97\xec\xc6:\x9d\xd3Rg',b'l\xad\x90n\xb0\xb9K\xb5',0.8226358100741158,0.7806566873286599,1.7786554536820705
b's\xf1Sf\x0e\x18P\\',b'.\x81\x0c\xd3q\x8dI\xab',0.7382893298534877,0.7849089503288269,1.2038766145706177
"b'\xa6\x0b\x8f,@`^\xa1'",b'\xfdi\x05\x9bb\xa3F\x9f',1.9673269271850586,4.8414366245269775,1.833832859992981
"b'Ku\xc5m""\xfdP\xa1'",b'.\x81\x0c\xd3q\x8dI\xab',1.5192440748214722,1.1549338102340698,1.630308985710144
b'\xa3:\xee\x98\x9e\xa6Y\x8b',b'l\xad\x90n\xb0\xb9K\xb5',0.9196284175452787,1.0057470397255013,1.8133895195768404
b'\x82\xb34p:\xceZt',b'\xfdi\x05\x9bb\xa3F\x9f',2.6713510036468504,7.782342624664307,3.3985755443573
"b""\xef\xb9G\x9a'\x80[A""",b'.\x81\x0c\xd3q\x8dI\xab',0.8205243871142122,1.0263700074141173,1.6055537176135768
b't\xdb\x19q\xef\x0fQ\x9a',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.42801621001036533,0.42566241715868225,1.215097427368164
b'\x93\xfaT$\xefFT\x1f',b'l\xad\x90n\xb0\xb9K\xb5',0.9038310418404611,1.3544748677303018,1.4025553357950982
b'H\x86\x0c?\x88\xfaU\n',b'*\x10\x9a\xb4\xba\xd9@*',1.4024461900348393,1.1072428103014684,1.4963653380489672
b'L\xd6\xf9\x14\xdc\x04U\x18',b'*\x10\x9a\xb4\xba\xd9@*',1.3604335787077466,1.0900312496864866,1.5435056030999073
b'W\xdbAb\x926Z\xc6',b'l\xad\x90n\xb0\xb9K\xb5',0.7488011806133682,0.7588625242438214,1.752389578764667
b'\x1d9\x04\x03u\xaeR\r',b'.\x81\x0c\xd3q\x8dI\xab',0.724951827162104,1.035773845859265,1.7079507189355239
b'N\xe0\xa2\x8e\xbeY[<',b'\xfdi\x05\x9bb\xa3F\x9f',1.972206175327301,4.943063259124756,1.6646076440811157
b'+\xf3\x92\x16\xb0VQ\x1d',b'\xfdi\x05\x9bb\xa3F\x9f',1.906174898147583,4.541427373886108,1.574677062034607
b'D\xff\x07\xeeF\xa4U\x80',b'.\x81\x0c\xd3q\x8dI\xab',0.4942041029516533,0.5095645883135365,1.334592019541414
b'\x874\xb3\xde eWI',b'*\x10\x9a\xb4\xba\xd9@*',1.3883180954195697,1.1683778843732526,1.559742657370747
b'm\xd5\xddg\xf9x_\xa9',b'.\x81\x0c\xd3q\x8dI\xab',0.7043485674607124,0.3988073825748961,1.8738079056251415
"b'U\xb9\x1fm,\xcc\\o'",b'\xfdi\x05\x9bb\xa3F\x9f',1.9667846441268921,4.7927079677581785,1.6672531366348267
b'\x8f\xba\r\xfcw\x8a[\t',b'.\x81\x0c\xd3q\x8dI\xab',1.3544953414862335,1.279777630704372,0.6317683162365784
b'\x95dn\xe9(\xaa_\xa0',b'l\xad\x90n\xb0\xb9K\xb5',0.7241640772474223,0.6975234988572394,1.787712292135079
b'\xadZy\xe4\xe0\xadZ)',b'.\x81\x0c\xd3q\x8dI\xab',0.9372940063476562,0.9126803278923035,1.91255383316636
"b""'\x0f\xb8`\x8c\x94W\xee""",b'.\x81\x0c\xd3q\x8dI\xab',0.4789961612756635,0.4643624722957611,0.6148800253868103
b'xF\xd0\x93\xd4\xe2R`',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.46655080703222823,0.46677505157798477,1.1761888488543273
b'W\xf5\xa5\x0c\x9bwSR',b'\xfdi\x05\x9bb\xa3F\x9f',2.784327983856201,7.9447051048278805,3.69374418258667
b'7\x16\xa0\xe4\x90wU\xbe',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.4311820941605409,0.429667260477566,1.3176738043372
"b""\xf3B'\xc9\x1cj_I""",b'\xfdi\x05\x9bb\xa3F\x9f',1.8563753604888915,4.644453144073486,1.584136039776089
"b',\xd5L^\xf3\x01Q\xf5'",b'l\xad\x90n\xb0\xb9K\xb5',0.8487172391914631,0.9080563262080338,1.7857531016461596
b'V\xb9K\xcd\x9c\x1fQ\x9c',b'\xfdi\x05\x9bb\xa3F\x9f',1.9638272285461427,4.469353485107422,1.8211619138717652
b'\x85w\x90\x846.R\xb4',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3570567731995926,0.36357565990163965,1.155661064839481
b'K\xbbN&\xff9W>',b'e?~\xfb\xb9QL\xe7',3.228586844882718,0.6573722027034394,0.9300210084288216
b'U\x01\x15+\x1aBY\xe7',b'l\xad\x90n\xb0\xb9K\xb5',0.758011813152369,0.8672722856728161,1.658899520336539
b'\x15-\x85\x1cdDR-',b'e?~\xfb\xb9QL\xe7',2.341826654855245,0.2733131656152822,1.0645213994501417
b'\x0b\x8b:\xf0\xb8\xbf\\b',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.47916018351037465,0.4733875833035088,1.147577752706944
b'\x15\x0f\x19\x1cb\xbeU\x8d',b'\xfdi\x05\x9bb\xa3F\x9f',2.8203438997268675,7.627997159957886,3.5100929737091064
b'\xf9\x0b\xe2m\x92\xa8[(',b'.\x81\x0c\xd3q\x8dI\xab',0.6144298315048218,0.5770624876022339,0.4799979271914406
b'\xb2:\x1f\xcd\x0e?P\xfa',b'e?~\xfb\xb9QL\xe7',1.0725392431345975,0.341734812080317,1.087860213049378
b'F\xf9\xb2\xbeZ\x91Pe',b'e?~\xfb\xb9QL\xe7',3.163799169804649,0.6990531592481916,0.9703946834180449
"b'""[\xbb3\x95\xf5U\x8b'",b'\x85\xab\xeb\xdc\xcdMF\xc7',0.48995430512571003,0.47849791715138446,1.0543280184676114
b'e\xf77\x898\xacS\xca',b'.\x81\x0c\xd3q\x8dI\xab',0.5096588432012202,0.4991621971130371,0.5870624037566275
b'vXH\xb1\x0fl\\\x83',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.4605341396116889,0.4477893167378329,0.8789204503229103
b'\xb7R\x7fV\xee\x9bX\xdb',b'.\x81\x0c\xd3q\x8dI\xab',0.7169033039478955,0.7870203481833972,1.1723613502492327
"b'\xe0\xa1B\xd3\xc3w[,'",b'\xfdi\x05\x9bb\xa3F\x9f',2.0686581134796143,4.635888481140137,1.9575920820236206
b'e==n\x1ekZc',b'*\x10\x9a\xb4\xba\xd9@*',1.3959766466185712,0.8854597035073154,1.3227311037902132
b':\xbb\xcb\x15iaXr',b'l\xad\x90n\xb0\xb9K\xb5',0.9738308584024097,0.9697119600429371,1.8715377846938173
b'):w\xd3\x0c\xfbS\xcc',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.38991923028440983,0.38375440567291635,0.8666640109874565
b'\x06\xc7\x04\x83\x8e\xd9V\xd5',b'*\x10\x9a\xb4\xba\xd9@*',1.2647248991727447,0.23748459779708886,1.2759878801147215
b'\xb4j\xee\x94\xad\xd9Y3',b'l\xad\x90n\xb0\xb9K\xb5',0.8994118357548224,0.977322502797955,1.7778539202208432
b'\x7f\xeav\xbeoqV4',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3600884731632191,0.3569073093306115,0.7333983660023544
b'o\x97\xd1\x80\x0e\x92UZ',b'.\x81\x0c\xd3q\x8dI\xab',0.6604989289161592,0.6554911005611735,1.107168027844447
"b'_\xbd\xed$,\xf5W\x1a'",b'\x85\xab\xeb\xdc\xcdMF\xc7',0.37260452558667917,0.3674447940280213,0.587496291718365
b'\x89\xdd\xb7aZ\xa8Z\x04',b'.\x81\x0c\xd3q\x8dI\xab',0.952086114870869,1.020915646893695,0.9714595298774076
b'[\xd9\xa1TMbT\x94',b'.\x81\x0c\xd3q\x8dI\xab',0.7516112742384191,0.39168406630908015,1.8116503953933716
b'+b\xbb{\xc9\xabS*',b'l\xad\x90n\xb0\xb9K\xb5',0.6918091120333228,0.7303911857895831,1.6935059038644238
b'\xb8\xb6*\xef\t9Y\xab',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.37183619313974603,0.3726602508883404,1.1464750695894357
b'\x8a*\xe9&\xe9\xc4U\xbb',b'l\xad\x90n\xb0\xb9K\xb5',0.8355000910550044,0.821335165902755,1.7891188862447782
"b'""$Q\xd3\xab\x18R\x96'",b'l\xad\x90n\xb0\xb9K\xb5',0.7803709635279796,0.7905092916838579,1.7851169850826918
b'\xe5\xde\x9ee\xdc\xbbRq',b'l\xad\x90n\xb0\xb9K\xb5',0.7152467547967004,0.8528950720828984,1.514623172411708
b'\xad}\xc1\x03..T\x10',b'l\xad\x90n\xb0\xb9K\xb5',0.8862714605998577,0.8096343339942066,1.8322728282675376
b'\x93u\xea\xa8\xdc&W\x1a',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.37082180488117666,0.3688050864493013,1.082625370261296
b'\xde\xbbD\x98\x7fUX&',b'l\xad\x90n\xb0\xb9K\xb5',0.688176379394059,0.6212520184823509,1.7664425139902715
"b'\x95%\x0b\xbc.U_""'",b'l\xad\x90n\xb0\xb9K\xb5',0.6999702845439358,0.6238552460250522,1.7828731971742493
b'd\xae\x12\x82\xadn_\x80',b'e?~\xfb\xb9QL\xe7',3.5945398342999617,0.6740299519954428,1.096455110618656
b'\x99\x0c\x824\x18\tS\x0f',b'l\xad\x90n\xb0\xb9K\xb5',0.7186574991404489,0.664692648978497,1.7650933886645912
b'\xd4\xcdRQ.\xbcZ4',b'e?~\xfb\xb9QL\xe7',2.258697568091544,0.51904514755759,1.1938518431594303
b'm\xec}\xf5\r\x8dWh',b'.\x81\x0c\xd3q\x8dI\xab',0.7274710405928377,0.5044476245203131,1.2259963386557993
b'\xe0Aby\xc5C[;',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.38433027418820226,0.38374103719259206,0.786070711006792
b'C\x8aKR\xdb\xd7W\xfa',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.37623587250709534,0.3736727237701416,0.7771164008384764
b'\xa3Y\xbc\xca\x9d\x12_\xfd',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3385756015777588,0.33397814631462097,0.7445897459983826
b'\xa4\x0f\x03\x9bvtW5',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.38029924035072327,0.37955719232559204,0.8326354010204149
b'\x8d\xd7\xbf?[ T\xf3',b'e?~\xfb\xb9QL\xe7',3.0238698238355632,0.5304075048153702,0.8277211623007759
b'\x11\x069x4\xb6S7',b'e?~\xfb\xb9QL\xe7',2.047078016705735,0.604048487212436,1.0976878827476428
b'\x0b\x1b\xa2\xc4\x07\xcdP\xdd',b'e?~\xfb\xb9QL\xe7',1.7117067493866294,0.48208044748189666,1.051553981599469
b'J\xa6\xe6\x8dSb]\xf8',b'\xfdi\x05\x9bb\xa3F\x9f',1.976491093635559,4.535391807556152,1.7241084575653076
b'\xea\xdd{\xb1\x19\xc7]-',b'\xfdi\x05\x9bb\xa3F\x9f',2.9841273546218874,10.50244426727295,3.749371600151062
b'w?\xfa]\r\x04T\xa1',b'e?~\xfb\xb9QL\xe7',3.2091805934906006,0.6549202044917155,0.9410199522972107
b'\xf5\x1c\x90.\xa0JXg',b'e?~\xfb\xb9QL\xe7',0.7424614286871722,0.33859272127201073,1.0210933685302734
b'\xe9\xc1g!\xa4!PQ',b'e?~\xfb\xb9QL\xe7',3.026545524597168,0.6481755375862122,1.0096184953325464
b'=\x1c\x94uT\x98[J',b'.\x81\x0c\xd3q\x8dI\xab',0.3183435875484757,0.3165066445138239,1.3360481637807142
b'\x10\xd2\x07\x7f7Y]\x19',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.28014135360717773,0.2728513777256012,0.712925136089325
b'\x8f\xdd\xdc\xab\x06LSO',b'l\xad\x90n\xb0\xb9K\xb5',0.788199697796548,0.786842881837231,1.8693275655996924
b'k\xe4\x9c\xdd\xf2\x89Y@',b'e?~\xfb\xb9QL\xe7',2.2316346168518066,0.5457345705039401,1.1248309425404661
b'+\x99\xad\x1e\x00\xfa_8',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.41120150685310364,0.4122066795825958,1.22431541705736
"b""D\xd0(o'xX\x88""",b'e?~\xfb\xb9QL\xe7',2.0066552461661855,0.5760938137569308,1.0945513850977608
b'\xe23]6\xdf\xf3Z.',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.6268481364600637,0.5991896906067591,1.4032841683406432
b'\x9c>~1\xc7\x16Yg',b'e?~\xfb\xb9QL\xe7',3.24700927734375,0.7611905386821235,0.9419392943382263
b'\x82\xaa@p\x9c4[\xad',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3968001730512172,0.39532952655490394,0.7832539241934272
b'\xb2\x13\xc6\xf4[\xccX\xd7',b'*\x10\x9a\xb4\xba\xd9@*',1.2124303579330444,0.19518858194351196,1.2053470611572266
b'L\x0cH\xa7\x0c+Q\x94',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3704745185492881,0.37020592165888827,0.879014584968085
"b""\x93'U\x14\xe5\xc7\\K""",b'\xfdi\x05\x9bb\xa3F\x9f',2.0047505140304565,4.675524091720581,1.7173306107521058
"b'""=\x07\x1e\xd3\xba^\x85'",b'\xfdi\x05\x9bb\xa3F\x9f',2.095428395271301,4.902140188217163,2.030190944671631
b'Q\x14&\xefU\x8eU ',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.4694317134355648,0.4663894141350318,1.3662256444211882
b'\x88\x03\xc1\x93\x81*Y@',b'.\x81\x0c\xd3q\x8dI\xab',0.7781022672031905,0.8949215498317805,1.1949557448553647
b' \xdc\x93\xc3e\x94S\x95',b'l\xad\x90n\xb0\xb9K\xb5',0.8157777190208435,0.8139731474496052,1.802629790411463
b'\xc6\xe7\x953\x83l_\xa5',b'l\xad\x90n\xb0\xb9K\xb5',0.8904289996016799,0.9578770318630507,1.8025719550072345
b' \xeazE!\x11V\xa9',b'l\xad\x90n\xb0\xb9K\xb5',0.8265378208602688,0.907960854561509,1.7751582194126607
b'\xeb\x85?\xcaK\x99Z\x12',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.4248892980949322,0.414961377349052,0.8761251557121057
b'#D&\xf2\x9bzX\xb9',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.5332113922607367,0.5180891185750318,1.335811185006666
b'\x91\x82\x9f\xe2C\xa3]\xa1',b'\xfdi\x05\x9bb\xa3F\x9f',1.9112574338912964,4.54057207107544,1.6772130727767944
b'j\xe4#\xc9\xc9\x94]\xe0',b'l\xad\x90n\xb0\xb9K\xb5',0.7819499452220956,0.7442138605502373,1.6494904360700369
b'A\xab\xae\xeb\x03\xabS\xd5',b'.\x81\x0c\xd3q\x8dI\xab',1.185790224025807,1.246339158542014,1.4940780814149754
"b'\xb1\xdaL\x81\xe7\xc9W""'",b'l\xad\x90n\xb0\xb9K\xb5',0.8828910030048316,0.9094795018202106,1.8521045794150703
"b'1pa\xf9""\x07_\xb9'",b'l\xad\x90n\xb0\xb9K\xb5',0.9211691737570405,1.05679593081921,1.820102607451364
b'Y\xf1\xd1\x06\x03\x1cP\xfa',b'e?~\xfb\xb9QL\xe7',2.2722787774196576,0.6001717232346433,1.1251604929897416
"b'*]g""\xc3\xc2_K'",b'e?~\xfb\xb9QL\xe7',2.287621782487177,0.6020332366865712,1.1326749074840847
b'\x14\xa8Z\xdd\x8c\xf1^Z',b'e?~\xfb\xb9QL\xe7',2.286605122999807,0.5973615618774447,1.1403600700112557
b'&\x01\x9c\x86\x1e\x93T\x9c',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3525051108522904,0.35829795384807456,1.2566410119789886
b'_\xd5\x9b\x97\xd8\xd5S@',b'e?~\xfb\xb9QL\xe7',2.2689926624298096,0.6026928424835205,1.1213746858427072
"b'a\xd0\x81=,\xbfT\xed'",b'.\x81\x0c\xd3q\x8dI\xab',0.4081892562472507,0.4254107377907383,1.2832277956477594
b'ok\xf3\xa4*y]\xf9',b'l\xad\x90n\xb0\xb9K\xb5',0.8027687122981619,0.846765621926911,1.8306894087783916
b'\x02\x83%\xd8\xf8\xa0R\xb6',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.33358592769424805,0.3291614904681145,0.7424891576364896
b'\x0fb\x9f\xa9\xd2cP9',b'l\xad\x90n\xb0\xb9K\xb5',0.8119147068986261,0.9577245622713068,1.793564563875209
b'S\xff1U\xff\xdbY\xb1',b'l\xad\x90n\xb0\xb9K\xb5',0.791880262046689,0.702187543680152,1.780151255135463
b'\x02\xb1\xd5j0\x9f]V',b'l\xad\x90n\xb0\xb9K\xb5',0.7723243500096104,0.7011750923416026,1.807483862813396
b'\xcbWW_\x1d\xac]m',b'l\xad\x90n\xb0\xb9K\xb5',0.7565304985754349,0.8007304606603473,1.7921680312716652
"b""\xa5k'\x11\xf7\x8fZ'""",b'l\xad\x90n\xb0\xb9K\xb5',0.7943463813654575,0.8164615728193739,1.8214361859251469
b'\x04\xd9\xf2\x08*nT\xa2',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3966088891029358,0.3969963788986206,0.7808806025664136
"b'\xe6\xd4\x14\xc2""\rQo'",b'\x85\xab\xeb\xdc\xcdMF\xc7',0.394780640948692,0.3803121097265634,0.979534442789172
b'C^5(y\xffU\x98',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.5424944737482893,0.5353562923477588,1.3917560577392578
b'\xba> \xefV\xcd]6',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3443506436825668,0.3389435764152112,0.7249327790005108
b'\xbf\x98X\x96\xd5l]\xba',b'l\xad\x90n\xb0\xb9K\xb5',0.7212010849654324,0.7379325684971482,1.768944865870743
b'Z\x85\xcbg\xb0\xa2S\xed',b'l\xad\x90n\xb0\xb9K\xb5',0.7782070536455038,0.796800153244449,1.7854701915393525
b'mM\xf3c\x04;_p',b'e?~\xfb\xb9QL\xe7',2.0400755232577192,0.621824324131012,1.1109601259231567
b'\xf7\x85QV\xef\x1fS\xb0',b'l\xad\x90n\xb0\xb9K\xb5',0.8139007336965196,0.8415675981917791,1.7525411392667614
b'\x96\xad!\xf4+\xd5[\xe8',b'l\xad\x90n\xb0\xb9K\xb5',0.7762504416160408,0.91953255191447,1.168164702023331
b'\xf51\xea\x88\x1b\xa1^\xa4',b'l\xad\x90n\xb0\xb9K\xb5',0.8494655629464232,0.8823399676577997,1.7369277657911208
b'&y\x1c\xdc|/Y\xcd',b'l\xad\x90n\xb0\xb9K\xb5',0.8116463749869524,0.8969607302426712,1.7399346395935669
b'`\xbb\xc4\xf8\xd4.]\x0c',b'e?~\xfb\xb9QL\xe7',2.228491506295302,0.5991767639605425,1.1358231579516753
b'E\xf4\xbf\xbc@CZ\x96',b'l\xad\x90n\xb0\xb9K\xb5',0.7847520604590491,0.740919997503485,1.83692817568541
b'\xae\x14\xe9l\x9b\xeeT\xed',b'l\xad\x90n\xb0\xb9K\xb5',0.7646478460808882,0.7371154684398239,1.821278434145446
b'\x90\x84)b\x84\xc2P\xb3',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3426425324444317,0.34766444065528174,0.9413578975420156
b'1\xaft\xe3(\xbfS\xa2',b'l\xad\x90n\xb0\xb9K\xb5',0.7277103742105578,0.7005221741553391,1.756195100128608
b'\x1dOY\x1d3\xcbQ:',b'\xfdi\x05\x9bb\xa3F\x9f',1.9797803163528442,4.91346321105957,1.6458314418792725
b'\x05\x8a\x9b\xa0\x81\xeeS\x01',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.41972142457962036,0.42758193612098694,1.3338719606399536
b'~\xaf\xfa\xf4-oW\x16',b'\xfdi\x05\x9bb\xa3F\x9f',1.972173810005188,4.720773696899414,1.6822481751441956
b'\xb1^\xc0\x9fF9Q\xb7',b'\xfdi\x05\x9bb\xa3F\x9f',1.9570552110671997,4.640594512105043,2.0852252006530763
b'\xfe\x01\xab\x13\xf9\x8e]\x0e',b'l\xad\x90n\xb0\xb9K\xb5',0.8414586235858411,0.883693715103086,1.8375721457115746
b'c\x94Win\x7fT\xa7',b'l\xad\x90n\xb0\xb9K\xb5',0.7920827739115778,0.8764773499852329,1.7839973469894563
"b'\xa3"";h\xfa>[\xa2'",b'e?~\xfb\xb9QL\xe7',2.210024491907945,0.5779286212873468,1.131307600038941
b'\x1e\xadQ\xa3\x91\x9aR\xfa',b'l\xad\x90n\xb0\xb9K\xb5',0.8446963838983366,0.8800168249058423,1.8138403581619582
"b'\x9c?Q""?\xf9];'",b'\x85\xab\xeb\xdc\xcdMF\xc7',0.375074112180379,0.3674093302662444,1.033497074604096
b'\xbe}\x9e\xbc[\x12P\x95',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3288002908229828,0.32401901483535767,0.7252135872840881
b'c\xf8g\xf1\x00\x99[c',b'l\xad\x90n\xb0\xb9K\xb5',0.8278356193251264,0.8699263220216058,1.7914045507738694
b'\x88\xe7\xcc\xf3\xbb\xa1P7',b'l\xad\x90n\xb0\xb9K\xb5',0.7959511009028173,0.7938603456168113,1.750707929930691
b'\x10\x9d\xc37>\xe7]\x1e',b'l\xad\x90n\xb0\xb9K\xb5',0.8373434360446355,0.8554129736244048,1.816729648206946
b'\xa0\x8dV\xaa\xba)^\xca',b'l\xad\x90n\xb0\xb9K\xb5',0.8677504875197928,1.069108161114273,1.9036514324160192
b'\xdd?\x05\x11\x9e8R+',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.37712484855394757,0.37299727930620463,1.1087822728685828
b'\xcd\xd6\xdf\xfd\xa3EY&',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.35888055631639365,0.35596488603980864,0.9604132808876432
b'U\x9di\xb2\xfa\x96X7',b'l\xad\x90n\xb0\xb9K\xb5',0.7866355180740356,0.7723628878593445,1.7430981397628784
b'j\x07\xba\xb9\xad\tZK',b'e?~\xfb\xb9QL\xe7',2.3144776448170825,0.5996952391812823,1.142097879232172
"b""\xdc-\xd4'\x07\x1aT'""",b'e?~\xfb\xb9QL\xe7',2.3784187949391358,0.6196643944665079,1.1175657788844304
b'y\x9f\t\x19TdUR',b'l\xad\x90n\xb0\xb9K\xb5',0.7238314079386363,0.7276466995067246,1.768937348667564
b'\x8bK\xf4T\x04jP^',b'e?~\xfb\xb9QL\xe7',2.284959818443733,0.5902899902224296,1.1305861396745736
b'\xa9\x88w^\xfe\x16S\xbb',b'e?~\xfb\xb9QL\xe7',3.7209004956038254,0.6991358399391174,1.0639748573303223
"b'\xd5\xa6""5\xc6\x03UA'",b'\x85\xab\xeb\xdc\xcdMF\xc7',0.350705253111015,0.35334282738163025,0.7927175882095251
b'g\xa69\xd30\x1fQ\xe0',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.36124249343781517,0.3570110094743125,0.9192523722584751
b'\x8b\x05\x9e\x90\x00o]\x97',b'l\xad\x90n\xb0\xb9K\xb5',0.8317757976491831,0.7685650963280474,1.858860495648405
b'_\xe9\xcc\xc4\xaeY^\xfe',b'e?~\xfb\xb9QL\xe7',2.3670260271806525,0.602570065142567,1.111408449249914
b'\xa7\x8ccU\xe6/Q\xc8',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.394672980343376,0.39645928568008876,1.288426912890488
b'\x00\x86^\x1c1\x11W\xd0',b'.\x81\x0c\xd3q\x8dI\xab',0.7206986980480982,0.7631604561267339,1.1756870829998485
b'\xd7\xb1G\xc6\xadDP\xc6',b'l\xad\x90n\xb0\xb9K\xb5',0.784016567258015,0.8024854346827566,1.7768122144430254
